Year,sum_oyster_units
1989,391.745479
1990,389.4805989
1991,320.8126961
1992,242.2825273
1993,136.1062079
1994,93.78475947
1995,383.2118271
1996,374.0171035
1997,490.7982744
1998,429.5363595
1999,426.2713775
2000,499.8937175
2001,490.3575842
2002,250.124735
2003,95.16119177
2004,77.51033106
2005,155.5521543
2006,203.0999468
2007,215.534393
2008,192.6163565
2009,183.7573883
2010,182.4442297
2011,195.5421787
2012,248.1958502
2013,523.0093706
2014,692.0887101
2015,723.627836
